in_ptr,in_v1,in_v2,in_v3,in_v4,in_v5,in_v6,in_v7,in_v8,in_v9,in_v10,in_v11,in_v12,in_v13,in_v14,in_v15,in_v16,out_ptr,out_v1,out_v2,out_v3,out_v4,out_v5,out_v6,out_v7,out_v8,out_v9,out_v10,out_v11,out_v12,out_v13,out_v14,out_v15,out_v16
10,36,37,91,91,82,49,97,1,6,78,0,0,0,0,0,0,9,36,37,91,91,82,49,97,1,6,0,0,0,0,0,0,0
15,97,19,44,49,30,1,35,84,2,49,81,7,36,44,62,0,14,97,19,44,49,30,1,35,84,2,49,81,7,36,44,0,0
6,78,83,41,91,41,93,0,0,0,0,0,0,0,0,0,0,5,78,83,41,91,41,0,0,0,0,0,0,0,0,0,0,0
8,18,55,17,75,14,65,88,22,0,0,0,0,0,0,0,0,7,18,55,17,75,14,65,88,0,0,0,0,0,0,0,0,0
11,7,43,53,43,54,30,42,59,1,100,55,0,0,0,0,0,10,7,43,53,43,54,30,42,59,1,100,0,0,0,0,0,0
1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,50,40,71,61,49,58,46,21,55,93,0,0,0,0,0,10,5,50,40,71,61,49,58,46,21,55,0,0,0,0,0,0
2,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,43,65,29,19,56,53,53,94,12,58,67,78,80,60,52,67,15,43,65,29,19,56,53,53,94,12,58,67,78,80,60,52,0
7,2,32,30,25,96,4,94,0,0,0,0,0,0,0,0,0,6,2,32,30,25,96,4,0,0,0,0,0,0,0,0,0,0
13,4,19,15,75,2,20,18,65,20,94,68,93,38,0,0,0,12,4,19,15,75,2,20,18,65,20,94,68,93,0,0,0,0
15,78,51,62,47,58,29,67,73,76,84,100,38,56,62,76,0,14,78,51,62,47,58,29,67,73,76,84,100,38,56,62,0,0
14,8,25,17,48,5,17,79,82,20,75,35,7,95,74,0,0,13,8,25,17,48,5,17,79,82,20,75,35,7,95,0,0,0
10,85,82,67,82,71,32,49,74,71,35,0,0,0,0,0,0,9,85,82,67,82,71,32,49,74,71,0,0,0,0,0,0,0
3,7,98,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,32,81,24,88,62,80,10,40,34,24,24,0,0,0,0,0,10,32,81,24,88,62,80,10,40,34,24,0,0,0,0,0,0
8,4,62,34,26,36,75,16,1,0,0,0,0,0,0,0,0,7,4,62,34,26,36,75,16,0,0,0,0,0,0,0,0,0
4,32,6,6,26,0,0,0,0,0,0,0,0,0,0,0,0,3,32,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
15,88,62,71,39,13,65,41,76,11,12,11,39,73,84,100,0,14,88,62,71,39,13,65,41,76,11,12,11,39,73,84,0,0
14,79,50,18,65,75,47,18,80,49,21,8,96,82,35,0,0,13,79,50,18,65,75,47,18,80,49,21,8,96,82,0,0,0
12,91,26,18,3,43,16,98,53,33,87,97,20,0,0,0,0,11,91,26,18,3,43,16,98,53,33,87,97,0,0,0,0,0
3,38,71,59,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,22,90,93,30,28,0,0,0,0,0,0,0,0,0,0,0,4,22,90,93,30,0,0,0,0,0,0,0,0,0,0,0,0
4,9,89,82,39,0,0,0,0,0,0,0,0,0,0,0,0,3,9,89,82,0,0,0,0,0,0,0,0,0,0,0,0,0
6,52,30,45,8,90,54,0,0,0,0,0,0,0,0,0,0,5,52,30,45,8,90,0,0,0,0,0,0,0,0,0,0,0
8,66,98,4,52,12,8,46,42,0,0,0,0,0,0,0,0,7,66,98,4,52,12,8,46,0,0,0,0,0,0,0,0,0
8,67,83,20,29,74,96,95,97,0,0,0,0,0,0,0,0,7,67,83,20,29,74,96,95,0,0,0,0,0,0,0,0,0
8,1,41,77,59,100,48,1,70,0,0,0,0,0,0,0,0,7,1,41,77,59,100,48,1,0,0,0,0,0,0,0,0,0
2,48,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,67,98,39,61,6,92,0,0,0,0,0,0,0,0,0,0,5,67,98,39,61,6,0,0,0,0,0,0,0,0,0,0,0
13,13,23,48,19,56,58,74,40,53,37,22,21,37,0,0,0,12,13,23,48,19,56,58,74,40,53,37,22,21,0,0,0,0
6,18,95,73,85,12,56,0,0,0,0,0,0,0,0,0,0,5,18,95,73,85,12,0,0,0,0,0,0,0,0,0,0,0
9,2,44,34,6,50,54,31,40,86,0,0,0,0,0,0,0,8,2,44,34,6,50,54,31,40,0,0,0,0,0,0,0,0
2,63,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,91,62,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,91,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,78,10,44,82,19,0,0,0,0,0,0,0,0,0,0,0,4,78,10,44,82,0,0,0,0,0,0,0,0,0,0,0,0
16,72,70,27,33,96,79,66,72,56,85,5,6,98,90,57,90,15,72,70,27,33,96,79,66,72,56,85,5,6,98,90,57,0
3,52,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,100,78,49,14,41,9,57,10,0,0,0,0,0,0,0,0,7,100,78,49,14,41,9,57,0,0,0,0,0,0,0,0,0
10,66,99,61,70,52,52,75,94,7,54,0,0,0,0,0,0,9,66,99,61,70,52,52,75,94,7,0,0,0,0,0,0,0
8,84,96,60,75,11,56,50,58,0,0,0,0,0,0,0,0,7,84,96,60,75,11,56,50,0,0,0,0,0,0,0,0,0
1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,53,84,86,87,70,84,32,84,48,89,86,41,0,0,0,0,11,53,84,86,87,70,84,32,84,48,89,86,0,0,0,0,0
12,30,6,76,7,4,83,41,1,17,48,4,30,0,0,0,0,11,30,6,76,7,4,83,41,1,17,48,4,0,0,0,0,0
1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13,89,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,40,15,2,53,79,11,62,54,1,35,31,43,15,29,43,0,14,40,15,2,53,79,11,62,54,1,35,31,43,15,29,0,0
12,27,83,25,54,58,70,56,71,94,61,48,40,0,0,0,0,11,27,83,25,54,58,70,56,71,94,61,48,0,0,0,0,0
14,84,67,6,22,75,31,6,81,96,27,73,33,73,31,0,0,13,84,67,6,22,75,31,6,81,96,27,73,33,73,0,0,0
13,61,33,57,4,63,31,50,77,50,44,78,35,8,0,0,0,12,61,33,57,4,63,31,50,77,50,44,78,35,0,0,0,0
1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,67,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,2,18,97,3,11,39,95,16,13,82,52,57,30,28,0,14,3,2,18,97,3,11,39,95,16,13,82,52,57,30,0,0
8,63,32,98,30,13,76,95,26,0,0,0,0,0,0,0,0,7,63,32,98,30,13,76,95,0,0,0,0,0,0,0,0,0
4,23,40,15,52,0,0,0,0,0,0,0,0,0,0,0,0,3,23,40,15,0,0,0,0,0,0,0,0,0,0,0,0,0
4,59,56,74,64,0,0,0,0,0,0,0,0,0,0,0,0,3,59,56,74,0,0,0,0,0,0,0,0,0,0,0,0,0
8,47,11,47,66,34,63,76,70,0,0,0,0,0,0,0,0,7,47,11,47,66,34,63,76,0,0,0,0,0,0,0,0,0
7,25,40,67,69,68,37,90,0,0,0,0,0,0,0,0,0,6,25,40,67,69,68,37,0,0,0,0,0,0,0,0,0,0
14,47,34,62,78,89,35,83,89,57,100,96,62,1,25,0,0,13,47,34,62,78,89,35,83,89,57,100,96,62,1,0,0,0
15,15,63,48,60,52,34,39,98,27,13,20,30,71,17,7,0,14,15,63,48,60,52,34,39,98,27,13,20,30,71,17,0,0
5,13,22,63,95,59,0,0,0,0,0,0,0,0,0,0,0,4,13,22,63,95,0,0,0,0,0,0,0,0,0,0,0,0
3,37,56,53,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,70,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,34,16,4,46,75,0,0,0,0,0,0,0,0,0,0,0,4,34,16,4,46,0,0,0,0,0,0,0,0,0,0,0,0
11,76,54,72,41,57,37,50,41,44,30,96,0,0,0,0,0,10,76,54,72,41,57,37,50,41,44,30,0,0,0,0,0,0
9,30,29,22,66,76,38,16,56,94,0,0,0,0,0,0,0,8,30,29,22,66,76,38,16,56,0,0,0,0,0,0,0,0
14,32,52,70,47,71,46,36,39,81,72,83,86,87,10,0,0,13,32,52,70,47,71,46,36,39,81,72,83,86,87,0,0,0
7,41,99,45,75,40,19,87,0,0,0,0,0,0,0,0,0,6,41,99,45,75,40,19,0,0,0,0,0,0,0,0,0,0
3,43,24,76,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,74,98,29,33,30,65,62,31,36,98,62,10,96,0,0,0,12,74,98,29,33,30,65,62,31,36,98,62,10,0,0,0,0
14,43,49,14,46,15,44,6,69,3,61,67,24,46,91,0,0,13,43,49,14,46,15,44,6,69,3,61,67,24,46,0,0,0
9,100,50,32,55,95,91,70,9,65,0,0,0,0,0,0,0,8,100,50,32,55,95,91,70,9,0,0,0,0,0,0,0,0
4,47,50,69,33,0,0,0,0,0,0,0,0,0,0,0,0,3,47,50,69,0,0,0,0,0,0,0,0,0,0,0,0,0
11,82,30,27,33,97,53,23,37,29,40,58,0,0,0,0,0,10,82,30,27,33,97,53,23,37,29,40,0,0,0,0,0,0
14,82,77,93,29,100,93,22,16,25,1,50,39,41,63,0,0,13,82,77,93,29,100,93,22,16,25,1,50,39,41,0,0,0
6,28,78,78,22,54,8,0,0,0,0,0,0,0,0,0,0,5,28,78,78,22,54,0,0,0,0,0,0,0,0,0,0,0
8,48,45,87,64,91,17,26,99,0,0,0,0,0,0,0,0,7,48,45,87,64,91,17,26,0,0,0,0,0,0,0,0,0
3,56,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,56,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,66,14,36,9,12,92,78,47,71,84,100,16,3,0,0,0,12,66,14,36,9,12,92,78,47,71,84,100,16,0,0,0,0
16,83,49,35,7,72,62,43,65,11,50,44,37,62,27,14,36,15,83,49,35,7,72,62,43,65,11,50,44,37,62,27,14,0
4,13,40,39,60,0,0,0,0,0,0,0,0,0,0,0,0,3,13,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0
14,89,92,72,85,63,99,71,62,52,70,23,35,74,43,0,0,13,89,92,72,85,63,99,71,62,52,70,23,35,74,0,0,0
8,41,12,25,10,80,3,69,70,0,0,0,0,0,0,0,0,7,41,12,25,10,80,3,69,0,0,0,0,0,0,0,0,0
4,51,44,80,97,0,0,0,0,0,0,0,0,0,0,0,0,3,51,44,80,0,0,0,0,0,0,0,0,0,0,0,0,0
7,94,82,56,39,86,65,41,0,0,0,0,0,0,0,0,0,6,94,82,56,39,86,65,0,0,0,0,0,0,0,0,0,0
10,37,97,20,7,25,17,83,72,11,29,0,0,0,0,0,0,9,37,97,20,7,25,17,83,72,11,0,0,0,0,0,0,0
15,19,25,61,78,5,90,83,20,80,23,86,42,44,8,78,0,14,19,25,61,78,5,90,83,20,80,23,86,42,44,8,0,0
10,53,84,67,10,56,19,9,26,47,2,0,0,0,0,0,0,9,53,84,67,10,56,19,9,26,47,0,0,0,0,0,0,0
9,85,92,68,69,22,6,83,44,19,0,0,0,0,0,0,0,8,85,92,68,69,22,6,83,44,0,0,0,0,0,0,0,0
1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,33,75,25,0,0,0,0,0,0,0,0,0,0,0,0,3,5,33,75,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,57,51,54,45,0,0,0,0,0,0,0,0,0,0,0,4,7,57,51,54,0,0,0,0,0,0,0,0,0,0,0,0
6,84,73,76,85,52,71,0,0,0,0,0,0,0,0,0,0,5,84,73,76,85,52,0,0,0,0,0,0,0,0,0,0,0
8,85,84,38,6,62,20,63,7,0,0,0,0,0,0,0,0,7,85,84,38,6,62,20,63,0,0,0,0,0,0,0,0,0
16,23,56,26,94,14,96,69,59,61,45,97,89,73,32,13,49,15,23,56,26,94,14,96,69,59,61,45,97,89,73,32,13,0
7,52,45,30,10,49,73,91,0,0,0,0,0,0,0,0,0,6,52,45,30,10,49,73,0,0,0,0,0,0,0,0,0,0
5,10,6,80,78,10,0,0,0,0,0,0,0,0,0,0,0,4,10,6,80,78,0,0,0,0,0,0,0,0,0,0,0,0
4,95,51,60,42,0,0,0,0,0,0,0,0,0,0,0,0,3,95,51,60,0,0,0,0,0,0,0,0,0,0,0,0,0
12,80,97,62,55,45,27,41,3,81,64,2,15,0,0,0,0,11,80,97,62,55,45,27,41,3,81,64,2,0,0,0,0,0
5,30,48,67,86,58,0,0,0,0,0,0,0,0,0,0,0,4,30,48,67,86,0,0,0,0,0,0,0,0,0,0,0,0
6,2,14,31,57,59,9,0,0,0,0,0,0,0,0,0,0,5,2,14,31,57,59,0,0,0,0,0,0,0,0,0,0,0
16,74,35,22,56,5,77,19,19,66,27,99,13,48,84,82,76,15,74,35,22,56,5,77,19,19,66,27,99,13,48,84,82,0
2,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,48,79,64,99,7,72,72,35,18,47,54,2,72,70,37,0,14,48,79,64,99,7,72,72,35,18,47,54,2,72,70,0,0
6,43,55,26,48,38,99,0,0,0,0,0,0,0,0,0,0,5,43,55,26,48,38,0,0,0,0,0,0,0,0,0,0,0
3,52,12,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,82,18,83,35,37,22,40,29,96,52,0,0,0,0,0,0,9,82,18,83,35,37,22,40,29,96,0,0,0,0,0,0,0
7,37,62,5,47,12,3,64,0,0,0,0,0,0,0,0,0,6,37,62,5,47,12,3,0,0,0,0,0,0,0,0,0,0
5,56,93,57,51,86,0,0,0,0,0,0,0,0,0,0,0,4,56,93,57,51,0,0,0,0,0,0,0,0,0,0,0,0
11,81,84,6,51,16,33,78,43,9,37,98,0,0,0,0,0,10,81,84,6,51,16,33,78,43,9,37,0,0,0,0,0,0
12,56,24,65,98,27,62,69,75,67,52,41,89,0,0,0,0,11,56,24,65,98,27,62,69,75,67,52,41,0,0,0,0,0
13,82,12,95,69,92,30,55,33,76,43,31,52,98,0,0,0,12,82,12,95,69,92,30,55,33,76,43,31,52,0,0,0,0
3,51,33,96,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,25,24,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,87,88,66,52,34,95,0,0,0,0,0,0,0,0,0,0,5,87,88,66,52,34,0,0,0,0,0,0,0,0,0,0,0
11,73,68,45,11,19,16,13,3,75,42,40,0,0,0,0,0,10,73,68,45,11,19,16,13,3,75,42,0,0,0,0,0,0
9,65,75,76,30,36,6,90,88,9,0,0,0,0,0,0,0,8,65,75,76,30,36,6,90,88,0,0,0,0,0,0,0,0
10,78,14,31,11,99,68,14,88,21,64,0,0,0,0,0,0,9,78,14,31,11,99,68,14,88,21,0,0,0,0,0,0,0
1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11,50,68,9,32,60,86,75,0,0,0,0,0,0,0,0,7,11,50,68,9,32,60,86,0,0,0,0,0,0,0,0,0
12,20,52,1,60,69,80,56,73,58,19,20,65,0,0,0,0,11,20,52,1,60,69,80,56,73,58,19,20,0,0,0,0,0
8,100,95,53,39,56,25,31,48,0,0,0,0,0,0,0,0,7,100,95,53,39,56,25,31,0,0,0,0,0,0,0,0,0
12,93,10,38,44,15,62,98,16,30,55,64,57,0,0,0,0,11,93,10,38,44,15,62,98,16,30,55,64,0,0,0,0,0
2,61,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,46,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,86,44,56,32,17,73,88,39,99,92,51,39,95,68,89,0,14,86,44,56,32,17,73,88,39,99,92,51,39,95,68,0,0
14,91,77,78,1,48,13,68,73,66,32,88,36,41,78,0,0,13,91,77,78,1,48,13,68,73,66,32,88,36,41,0,0,0
10,86,75,37,42,4,70,37,36,54,28,0,0,0,0,0,0,9,86,75,37,42,4,70,37,36,54,0,0,0,0,0,0,0
11,51,54,98,17,78,64,86,91,67,4,91,0,0,0,0,0,10,51,54,98,17,78,64,86,91,67,4,0,0,0,0,0,0
11,66,31,96,9,94,65,56,73,31,85,69,0,0,0,0,0,10,66,31,96,9,94,65,56,73,31,85,0,0,0,0,0,0
14,16,71,66,3,35,8,31,48,72,100,65,29,19,32,0,0,13,16,71,66,3,35,8,31,48,72,100,65,29,19,0,0,0
14,27,23,51,87,25,47,22,34,11,55,85,41,18,77,0,0,13,27,23,51,87,25,47,22,34,11,55,85,41,18,0,0,0
13,48,35,34,48,46,43,93,61,17,6,85,21,58,0,0,0,12,48,35,34,48,46,43,93,61,17,6,85,21,0,0,0,0
10,7,47,66,71,23,79,84,43,81,82,0,0,0,0,0,0,9,7,47,66,71,23,79,84,43,81,0,0,0,0,0,0,0
13,17,94,81,2,36,44,37,1,88,11,100,35,76,0,0,0,12,17,94,81,2,36,44,37,1,88,11,100,35,0,0,0,0
11,97,5,54,32,82,11,89,58,43,99,98,0,0,0,0,0,10,97,5,54,32,82,11,89,58,43,99,0,0,0,0,0,0
11,16,84,53,71,99,39,92,60,88,61,94,0,0,0,0,0,10,16,84,53,71,99,39,92,60,88,61,0,0,0,0,0,0
13,42,47,90,8,23,63,31,69,17,84,96,83,83,0,0,0,12,42,47,90,8,23,63,31,69,17,84,96,83,0,0,0,0
1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,95,95,92,30,9,30,0,0,0,0,0,0,0,0,0,0,5,95,95,92,30,9,0,0,0,0,0,0,0,0,0,0,0
4,65,42,42,59,0,0,0,0,0,0,0,0,0,0,0,0,3,65,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0
3,32,91,65,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,25,94,37,44,71,59,36,97,75,89,12,38,99,17,0,0,13,25,94,37,44,71,59,36,97,75,89,12,38,99,0,0,0
10,1,62,7,50,72,99,21,88,95,13,0,0,0,0,0,0,9,1,62,7,50,72,99,21,88,95,0,0,0,0,0,0,0
9,14,48,25,96,21,79,38,75,54,0,0,0,0,0,0,0,8,14,48,25,96,21,79,38,75,0,0,0,0,0,0,0,0
5,31,15,71,11,8,0,0,0,0,0,0,0,0,0,0,0,4,31,15,71,11,0,0,0,0,0,0,0,0,0,0,0,0
16,95,62,91,9,46,58,66,78,47,15,53,63,17,10,5,82,15,95,62,91,9,46,58,66,78,47,15,53,63,17,10,5,0
10,70,100,17,86,39,93,18,72,60,25,0,0,0,0,0,0,9,70,100,17,86,39,93,18,72,60,0,0,0,0,0,0,0
13,55,19,16,34,76,19,98,86,22,41,69,17,27,0,0,0,12,55,19,16,34,76,19,98,86,22,41,69,17,0,0,0,0
2,51,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,76,22,63,61,11,12,28,7,23,0,0,0,0,0,0,0,8,76,22,63,61,11,12,28,7,0,0,0,0,0,0,0,0
3,29,59,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,69,13,24,47,71,21,29,24,77,44,17,27,90,47,0,14,3,69,13,24,47,71,21,29,24,77,44,17,27,90,0,0
5,32,34,75,41,16,0,0,0,0,0,0,0,0,0,0,0,4,32,34,75,41,0,0,0,0,0,0,0,0,0,0,0,0
3,2,90,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,25,82,79,36,67,24,87,81,13,10,41,17,27,0,0,0,12,25,82,79,36,67,24,87,81,13,10,41,17,0,0,0,0
6,47,7,78,65,16,37,0,0,0,0,0,0,0,0,0,0,5,47,7,78,65,16,0,0,0,0,0,0,0,0,0,0,0
9,50,47,71,30,96,41,33,24,30,0,0,0,0,0,0,0,8,50,47,71,30,96,41,33,24,0,0,0,0,0,0,0,0
3,40,100,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,13,22,38,11,51,63,0,0,0,0,0,0,0,0,0,6,2,13,22,38,11,51,0,0,0,0,0,0,0,0,0,0
2,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,63,40,91,21,21,83,30,55,68,0,0,0,0,0,0,0,8,63,40,91,21,21,83,30,55,0,0,0,0,0,0,0,0
16,21,76,47,29,73,3,86,72,36,26,97,45,4,58,50,23,15,21,76,47,29,73,3,86,72,36,26,97,45,4,58,50,0
5,96,70,55,21,62,0,0,0,0,0,0,0,0,0,0,0,4,96,70,55,21,0,0,0,0,0,0,0,0,0,0,0,0
9,8,3,80,81,76,10,20,47,75,0,0,0,0,0,0,0,8,8,3,80,81,76,10,20,47,0,0,0,0,0,0,0,0
3,10,85,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,74,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,48,19,70,42,12,57,76,71,87,36,15,89,67,13,0,0,13,48,19,70,42,12,57,76,71,87,36,15,89,67,0,0,0
11,18,72,5,25,55,37,20,99,75,24,20,0,0,0,0,0,10,18,72,5,25,55,37,20,99,75,24,0,0,0,0,0,0
14,38,86,70,66,12,55,25,39,96,58,29,31,83,46,0,0,13,38,86,70,66,12,55,25,39,96,58,29,31,83,0,0,0
15,62,38,63,63,8,85,4,32,85,58,79,19,22,74,12,0,14,62,38,63,63,8,85,4,32,85,58,79,19,22,74,0,0
2,52,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,91,92,92,76,2,50,57,33,52,44,42,95,59,0,0,0,12,91,92,92,76,2,50,57,33,52,44,42,95,0,0,0,0
2,95,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,88,51,96,78,8,0,0,0,0,0,0,0,0,0,0,0,4,88,51,96,78,0,0,0,0,0,0,0,0,0,0,0,0
8,17,92,78,90,44,38,14,18,0,0,0,0,0,0,0,0,7,17,92,78,90,44,38,14,0,0,0,0,0,0,0,0,0
14,66,43,64,56,91,31,46,23,51,63,80,24,60,62,0,0,13,66,43,64,56,91,31,46,23,51,63,80,24,60,0,0,0
8,34,83,83,27,88,24,98,33,0,0,0,0,0,0,0,0,7,34,83,83,27,88,24,98,0,0,0,0,0,0,0,0,0
14,34,45,54,10,54,92,40,15,24,55,78,33,78,44,0,0,13,34,45,54,10,54,92,40,15,24,55,78,33,78,0,0,0
7,76,62,91,63,55,83,8,0,0,0,0,0,0,0,0,0,6,76,62,91,63,55,83,0,0,0,0,0,0,0,0,0,0
8,5,96,60,7,80,5,32,53,0,0,0,0,0,0,0,0,7,5,96,60,7,80,5,32,0,0,0,0,0,0,0,0,0
9,63,28,78,40,22,54,37,13,1,0,0,0,0,0,0,0,8,63,28,78,40,22,54,37,13,0,0,0,0,0,0,0,0
5,93,1,39,87,11,0,0,0,0,0,0,0,0,0,0,0,4,93,1,39,87,0,0,0,0,0,0,0,0,0,0,0,0
1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,12,98,45,59,80,76,74,88,83,0,0,0,0,0,0,0,8,12,98,45,59,80,76,74,88,0,0,0,0,0,0,0,0
12,82,29,63,60,17,82,46,16,59,32,68,29,0,0,0,0,11,82,29,63,60,17,82,46,16,59,32,68,0,0,0,0,0
1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,18,33,87,71,77,0,0,0,0,0,0,0,0,0,0,0,4,18,33,87,71,0,0,0,0,0,0,0,0,0,0,0,0
7,78,52,7,21,45,40,62,0,0,0,0,0,0,0,0,0,6,78,52,7,21,45,40,0,0,0,0,0,0,0,0,0,0
7,64,57,36,98,41,66,92,0,0,0,0,0,0,0,0,0,6,64,57,36,98,41,66,0,0,0,0,0,0,0,0,0,0
7,53,50,9,48,71,86,91,0,0,0,0,0,0,0,0,0,6,53,50,9,48,71,86,0,0,0,0,0,0,0,0,0,0
4,46,79,38,60,0,0,0,0,0,0,0,0,0,0,0,0,3,46,79,38,0,0,0,0,0,0,0,0,0,0,0,0,0
16,27,93,95,84,10,20,32,66,40,27,21,66,78,80,1,45,15,27,93,95,84,10,20,32,66,40,27,21,66,78,80,1,0
6,49,32,27,98,50,93,0,0,0,0,0,0,0,0,0,0,5,49,32,27,98,50,0,0,0,0,0,0,0,0,0,0,0
10,62,29,18,85,65,59,12,87,62,80,0,0,0,0,0,0,9,62,29,18,85,65,59,12,87,62,0,0,0,0,0,0,0
10,7,70,12,93,72,90,17,66,42,11,0,0,0,0,0,0,9,7,70,12,93,72,90,17,66,42,0,0,0,0,0,0,0
13,32,52,38,87,80,13,75,45,31,21,42,2,35,0,0,0,12,32,52,38,87,80,13,75,45,31,21,42,2,0,0,0,0
4,33,35,94,27,0,0,0,0,0,0,0,0,0,0,0,0,3,33,35,94,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,65,57,60,18,25,49,60,17,36,98,11,0,0,0,0,11,10,65,57,60,18,25,49,60,17,36,98,0,0,0,0,0
14,70,66,82,41,6,59,55,5,81,77,59,68,43,17,0,0,13,70,66,82,41,6,59,55,5,81,77,59,68,43,0,0,0
10,88,18,76,64,2,7,96,44,88,19,0,0,0,0,0,0,9,88,18,76,64,2,7,96,44,88,0,0,0,0,0,0,0
2,51,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
